"CBAMValid Pre-flight Checklist","","",""
"Honest time estimate","2–4 hours if your data is ready. 2–3 weeks if starting from zero.","",""
"Fill this sheet at the plant, return completed, then enter into CBAMValid.","","",""
"Category","Item","Plant value / note","Evidence file name"
"Identity & scope","Legal operator / exporter name as on commercial documents","",""
"Identity & scope","Installation name, country, and address","",""
"Identity & scope","Reporting year and period dates","",""
"Identity & scope","Production route and system boundary decision","",""
"Goods & CN codes","CN codes for goods in scope","",""
"Goods & CN codes","Production quantity per good (tonnes)","",""
"Goods & CN codes","Simple vs complex goods classification","",""
"Goods & CN codes","Precursor applicability decision","",""
"Activity data & emissions","Direct emissions for the period (or measurement basis)","",""
"Activity data & emissions","Electricity consumption and grid factor where required","",""
"Activity data & emissions","Fuel / process activity data supporting the calc path","",""
"Activity data & emissions","Allocation method if multiple goods share sources","",""
"Evidence files","Meters, invoices, lab reports, or process logs for each material input","",""
"Evidence files","SHA-ready PDFs or sheets (clear issue dates and periods)","",""
"Evidence files","Internal review status path to APPROVED / SUPPORTED","",""
"Evidence files","Field-to-evidence links planned before seal","",""
"Boundary","Operator-prepared dossier only — not an accredited verification opinion.","",""
